iter	loss	
 1.0000e+00	 1.4412e+01	
 2.0000e+00	 1.2749e+01	
 3.0000e+00	 1.7035e+01	
 4.0000e+00	 1.7640e+01	
 5.0000e+00	 1.4439e+01	
 6.0000e+00	 1.8762e+01	
 7.0000e+00	 1.7819e+01	
 8.0000e+00	 2.1711e+01	
 9.0000e+00	 2.8129e+01	
 1.0000e+01	 3.6004e+01	
 1.1000e+01	 4.0639e+01	
 1.2000e+01	 4.7680e+01	
 1.3000e+01	 4.6414e+01	
 1.4000e+01	 5.4321e+01	
 1.5000e+01	 5.3019e+01	
 1.6000e+01	 5.3705e+01	
 1.7000e+01	 5.2798e+01	
 1.8000e+01	 7.8536e+01	
 1.9000e+01	 8.3682e+01	
 1.0000e+00	 9.6730e+01	
 1.0000e+00	 1.0472e+02	
 2.0000e+00	 1.1465e+02	
 3.0000e+00	 1.3074e+02	
 4.0000e+00	 1.2649e+02	
 5.0000e+00	 1.1593e+02	
 6.0000e+00	 1.3617e+02	
 7.0000e+00	 1.3889e+02	
 8.0000e+00	 1.5033e+02	
 9.0000e+00	 1.7253e+02	
 1.0000e+01	 1.9956e+02	
 1.1000e+01	 2.1175e+02	
 1.2000e+01	 2.2900e+02	
 1.3000e+01	 2.2626e+02	
 1.4000e+01	 2.4352e+02	
 1.5000e+01	 2.4163e+02	
 1.6000e+01	 2.4240e+02	
 1.7000e+01	 2.1363e+02	
 1.8000e+01	 2.6936e+02	
 1.9000e+01	 2.8184e+02	
 1.0000e+00	 3.2585e+02	
 1.0000e+00	 3.4114e+02	
 2.0000e+00	 3.6266e+02	
 3.0000e+00	 3.9057e+02	
 4.0000e+00	 3.8146e+02	
 5.0000e+00	 3.6354e+02	
 6.0000e+00	 3.9969e+02	
 7.0000e+00	 4.0607e+02	
 8.0000e+00	 4.2507e+02	
 9.0000e+00	 4.6304e+02	
 1.0000e+01	 5.0924e+02	
 1.1000e+01	 5.2898e+02	
 1.2000e+01	 5.5645e+02	
 1.3000e+01	 5.5223e+02	
 1.4000e+01	 5.7884e+02	
 1.5000e+01	 5.7635e+02	
 1.6000e+01	 5.7721e+02	
 1.7000e+01	 5.2058e+02	
 1.8000e+01	 6.0630e+02	
 1.9000e+01	 6.2611e+02	
 1.0000e+00	 7.0108e+02	
 1.0000e+00	 7.2368e+02	
 2.0000e+00	 7.5680e+02	
 3.0000e+00	 7.9652e+02	
 4.0000e+00	 7.8255e+02	
 5.0000e+00	 7.5727e+02	
 6.0000e+00	 8.0933e+02	
 7.0000e+00	 8.1938e+02	
 8.0000e+00	 8.4593e+02	
 9.0000e+00	 8.9968e+02	
 1.0000e+01	 9.6504e+02	
 1.1000e+01	 9.9232e+02	
 1.2000e+01	 1.0300e+03	
 1.3000e+01	 1.0243e+03	
 1.4000e+01	 1.0603e+03	
 1.5000e+01	 1.0572e+03	
 1.6000e+01	 1.0581e+03	
 1.7000e+01	 9.7366e+02	
 1.8000e+01	 1.0894e+03	
 1.9000e+01	 1.1165e+03	
 1.0000e+00	 1.2224e+03	
 1.0000e+00	 1.2523e+03	
 2.0000e+00	 1.2971e+03	
 3.0000e+00	 1.3486e+03	
 4.0000e+00	 1.3298e+03	
 5.0000e+00	 1.2971e+03	
 6.0000e+00	 1.3651e+03	
 7.0000e+00	 1.3788e+03	
 8.0000e+00	 1.4129e+03	
 9.0000e+00	 1.4824e+03	
 1.0000e+01	 1.5670e+03	
 1.1000e+01	 1.6018e+03	
 1.2000e+01	 1.6497e+03	
 1.3000e+01	 1.6425e+03	
 1.4000e+01	 1.6878e+03	
 1.5000e+01	 1.6842e+03	
 1.6000e+01	 1.6852e+03	
 1.7000e+01	 1.5729e+03	
 1.8000e+01	 1.7185e+03	
 1.9000e+01	 1.7530e+03	
 1.0000e+00	 1.8899e+03	
 1.0000e+00	 1.9271e+03	
 2.0000e+00	 1.9834e+03	
 3.0000e+00	 2.0468e+03	
 4.0000e+00	 2.0231e+03	
 5.0000e+00	 1.9831e+03	
 6.0000e+00	 2.0670e+03	
 7.0000e+00	 2.0844e+03	
 8.0000e+00	 2.1260e+03	
 9.0000e+00	 2.2113e+03	
 1.0000e+01	 2.3150e+03	
 1.1000e+01	 2.3574e+03	
 1.2000e+01	 2.4155e+03	
 1.3000e+01	 2.4069e+03	
 1.4000e+01	 2.4615e+03	
 1.5000e+01	 2.4573e+03	
 1.6000e+01	 2.4584e+03	
 1.7000e+01	 2.3182e+03	
 1.8000e+01	 2.4939e+03	
 1.9000e+01	 2.5357e+03	
 1.0000e+00	 2.7035e+03	
 1.0000e+00	 2.7480e+03	
 2.0000e+00	 2.8159e+03	
 3.0000e+00	 2.8911e+03	
 4.0000e+00	 2.8626e+03	
 5.0000e+00	 2.8152e+03	
 6.0000e+00	 2.9150e+03	
 7.0000e+00	 2.9360e+03	
 8.0000e+00	 2.9853e+03	
 9.0000e+00	 3.0863e+03	
 1.0000e+01	 3.2092e+03	
 1.1000e+01	 3.2591e+03	
 1.2000e+01	 3.3275e+03	
 1.3000e+01	 3.3173e+03	
 1.4000e+01	 3.3814e+03	
 1.5000e+01	 3.3765e+03	
 1.6000e+01	 3.3777e+03	
 1.7000e+01	 3.2096e+03	
 1.8000e+01	 3.4153e+03	
 1.9000e+01	 3.4644e+03	
 1.0000e+00	 3.6633e+03	
 1.0000e+00	 3.7151e+03	
 2.0000e+00	 3.7946e+03	
 3.0000e+00	 3.8816e+03	
 4.0000e+00	 3.8481e+03	
 5.0000e+00	 3.7934e+03	
 6.0000e+00	 3.9092e+03	
 7.0000e+00	 3.9338e+03	
 8.0000e+00	 3.9906e+03	
 9.0000e+00	 4.1075e+03	
 1.0000e+01	 4.2495e+03	
 1.1000e+01	 4.3070e+03	
 1.2000e+01	 4.3855e+03	
 1.3000e+01	 4.3739e+03	
 1.4000e+01	 4.4473e+03	
 1.5000e+01	 4.4418e+03	
 1.6000e+01	 4.4431e+03	
 1.7000e+01	 4.2472e+03	
 1.8000e+01	 4.4829e+03	
 1.9000e+01	 4.5393e+03	
 1.0000e+00	 4.7691e+03	
 1.0000e+00	 4.8282e+03	
 2.0000e+00	 4.9193e+03	
 3.0000e+00	 5.0181e+03	
 4.0000e+00	 4.9799e+03	
 5.0000e+00	 4.9178e+03	
 6.0000e+00	 5.0494e+03	
 7.0000e+00	 5.0778e+03	
 8.0000e+00	 5.1421e+03	
 9.0000e+00	 5.2747e+03	
 1.0000e+01	 5.4359e+03	
 1.1000e+01	 5.5009e+03	
 1.2000e+01	 5.5897e+03	
 1.3000e+01	 5.5766e+03	
 1.4000e+01	 5.6594e+03	
